Year,Model,Test accuracy,CV accuracy,MSE,Time taken:
2012,Ridge linear (alpha = 0.0),0.873,0.79929,0.042,0:01:03.232966
2012,k-Nearest Neighbors (k = 21),0.815,0.81469,0.069,0:02:36.409155
2012,"Random forest (depth=15,max_features=0.4)",0.911,0.89491,0.024,0:09:41.745169
2012,Averaged,0.89,N/A,0.03,N/A
2020,Ridge linear (alpha = 0.0),0.909,0.79929,0.04,0:01:03.232966
2020,k-Nearest Neighbors (k = 21),0.868,0.81469,0.071,0:02:36.409155
2020,"Random forest (depth=15,max_features=0.4)",0.947,0.89491,0.019,0:09:41.745169
2020,Averaged,0.933,N/A,0.024,N/A
