fips,y,vote_diff%,vote_prob,dem%,repub%,third_party%,turnout,male%,female%,labor%,armed%,empl%,unempl%,poverty%,income_median,income_percapita,income_10%,income_10-15%,income_15-25%,income_25%,single%,married%,marital_ratio,sepdiv%,widow%,edu_low%,edu_mid%,edu_high%,edulow_age18%,edulow_age45%,edulow_age65%,edumid_age18%,edumid_age45%,edumid_age65%,eduhigh_age18%,eduhigh_age45%,eduhigh_age65%,age_18%,age_45%,age_65%,wht%,wht_m%,wht_f%,blk%,blk_m%,blk_f%,other%,other_m%,other_f%,native%,hispanic%,pop_density,houses_density,pop_tot,area_sqmiles
1001,1,0.46398786959818045,0.7319939347990903,0.2658783219120842,0.7261825171318737,0.00793916095604212,0.4340539756239118,0.4855992455020313,0.5144007544979686,0.4888094892629135,0.010084155542658154,0.4378808763784098,0.040844457341845615,0.12706761462565294,52475,24644,0.02236288450377249,0.02239915844457342,0.03340829947765525,0.2900827045850261,0.19346706326175275,0.4277604468949507,0.45227899088403645,0.12168093441671503,0.04548752176436448,0.10885809634358677,0.4854360127684272,0.1479069936157864,0.04539683691236216,0.03569355774811375,0.027767701683110855,0.2394261462565293,0.15871662797446315,0.0872932385374347,0.06467643644805572,0.06551073708647707,0.017719820081253626,0.3494994196169472,0.259920922809054,0.1327807603017992,0.7800892338943702,0.3836513348810215,0.3964378990133488,0.1860309053975624,0.0884177307022635,0.0976131746952989,0.033879860708067325,0.013530179918746372,0.02034968078932095,0.9859982588508416,0.02522852582704585,91.22661879431158,33.59448033951868,55136,604.385
1003,1,0.5636191378493605,0.7818095689246802,0.21589444327263352,0.7735826946963837,0.01052286203098268,0.4463167804189221,0.4875866216887634,0.5124133783112367,0.4794173792526346,0.0014696268403022934,0.4368609607489344,0.041086791663397924,0.13591694777856228,50183,26851,0.025689704767134752,0.019105148923929813,0.046358620328966295,0.29093904448105434,0.19013101121832587,0.44686592923825214,0.42547663354517046,0.11735571768520697,0.05852357417431552,0.09243482126513428,0.4756047174498575,0.2060981668889412,0.04414110509662404,0.024000418399100443,0.024293297769409795,0.19934625140555948,0.1744096650192202,0.10184880102507779,0.07511309850683821,0.08044768703747288,0.05053738134463011,0.31860045500902173,0.2788577704557935,0.17667948013911772,0.8664679270939567,0.4226981511989749,0.44376977589498184,0.09365340864517141,0.0445438142307994,0.04910959441437201,0.03987866426087184,0.020344656258989045,0.019534008001882795,0.9643785465861249,0.04513480296017364,94.31495933267004,36.03704034374733,191205,2027.303
1005,0,-0.031582620834060375,0.4842086895829698,0.5136849422191329,0.48223129724563385,0.004083760535233296,0.4243888048969357,0.5369667023120321,0.46303329768796786,0.39691729046056273,0.0,0.3406099044950035,0.056307385965559204,0.2150521774401711,35634,17350,0.042221320845163904,0.03669014344186733,0.05354179726391091,0.20476418747003947,0.27058519856926877,0.3390611748220805,0.7980424143556281,0.14535934215863416,0.06460415207050407,0.19831114716619344,0.48843983922711015,0.097090600685866,0.08820384232456949,0.05379991887606475,0.056307385965559204,0.23227257642243446,0.1813857443121059,0.07478151849256978,0.03669014344186733,0.037353884730262917,0.023046572513735757,0.3571665621888713,0.2725395479184336,0.15413547697186475,0.4722150521774402,0.25377041926324717,0.218444632914193,0.46332829381614365,0.24189682510417052,0.22143146871197317,0.06445665400641616,0.041299457944614475,0.02315719606180169,0.9716434971790995,0.047310004056196765,29.981912898889128,10.110424184532654,27119,904.512
1007,1,0.4715622750179986,0.7357811375089993,0.261520190023753,0.7282660332541567,0.010213776722090262,0.3716946982739593,0.5394428993952236,0.4605571006047764,0.39438484968878296,0.00022072131726482143,0.35112347150487794,0.04304065686664018,0.15874277137685958,37984,18110,0.023528892420429964,0.019776630026928,0.05606321458526464,0.21308435968745862,0.237319560323136,0.3981371120822849,0.5960749528772591,0.12691475742727232,0.06652540502361719,0.17763651613472828,0.5335717123559793,0.07235244779940847,0.07742903809649936,0.048161391427184036,0.052046086611044894,0.24950337703615416,0.20341676599125944,0.08065156932856575,0.036065863241071826,0.027325299077384894,0.00896128548095175,0.36299827837372534,0.2789034564958284,0.1416589414205624,0.7671831545490664,0.39288394473138216,0.37429920981768416,0.21176003178386968,0.13066701982077428,0.0810930119630954,0.021056813667063964,0.015891934843067144,0.005164878823996822,0.9868008652275637,0.02008563987109875,36.177307614913616,11.303711795274735,22653,626.166
1009,1,0.7496522948539638,0.874826147426982,0.12371907023244189,0.8646588352911772,0.011622094476380905,0.41644548529794434,0.4956891317547055,0.5043108682452945,0.42942145892965566,0.0005377743082661115,0.38914042848469077,0.03974325613669876,0.1711510104952728,44409,20501,0.029907190562928267,0.020990545580709515,0.044132188394483476,0.26812386156648454,0.15873015873015872,0.4707606904328216,0.33717802262593505,0.10975800156128025,0.06298898430045971,0.1684794865122734,0.5057160204701189,0.08507242605603262,0.07001474542458148,0.050221181368722355,0.048243559718969556,0.2286581663630844,0.18461271576025676,0.09244513834677769,0.03108682452944748,0.03556249457888802,0.018423106947697113,0.32975973631711336,0.2703963917078671,0.15911180501344435,0.9528493364558939,0.46895654436638046,0.4838927920895134,0.015352589123080927,0.008951340098881082,0.006401249024199844,0.03179807442102524,0.01778124728944401,0.01401682713158123,0.9586781160551653,0.08465608465608465,88.59942363112393,32.17521613832853,57645,650.625
1011,0,-0.5289909638554217,0.23550451807228914,0.7630590003757985,0.2350620067643743,0.0018789928598271326,0.49770878144580566,0.5423174039090994,0.45768259609090056,0.4352380061722622,0.0,0.3595810343215188,0.07565697185074348,0.19498737491817075,34804,17706,0.05807537641447676,0.02627887402973908,0.05180959506219022,0.21415879547367436,0.3679042364163471,0.21705788833816517,1.6949590693666523,0.15402599831665575,0.0808005237070981,0.2558683250724773,0.4346768914242963,0.095950621902179,0.11072664359861592,0.08454128869353783,0.06060039278032358,0.22640980080426448,0.1411203591134387,0.0671467315065931,0.03385392312727953,0.04685308145515758,0.015243617319741887,0.3709903675301599,0.2725147292621341,0.14299074160665856,0.26213410642476387,0.17216870850088845,0.08996539792387544,0.7144861124099878,0.3504161601047414,0.3640699523052464,0.023379781165248293,0.01973253530346956,0.003647245861778734,0.9529598802955205,0.04030674272888806,17.104968487058898,5.9922577342675245,10693,625.14
1013,1,0.07536201247225452,0.5376810062361272,0.4606149957877001,0.5356992417860151,0.0036857624262847514,0.4627003849339765,0.46728061199629684,0.5327193880037031,0.4309798762364177,0.0010719680358622034,0.3775276519027433,0.05238025629781221,0.25527456999464015,31571,18115,0.05301369195536715,0.04131949520050675,0.07323490717731326,0.23456609657457486,0.24509087365394921,0.3441504653315792,0.7121619708339233,0.13165716513180334,0.08151829654533937,0.17789796813331385,0.48696584320031183,0.09954684987574916,0.06694927642157579,0.046386980460946255,0.0645617112507918,0.20708473420065293,0.19251571407688933,0.08736539492276958,0.04015007552502071,0.03630073575987916,0.023096038590849292,0.3141840861472494,0.27520343029771477,0.17502314476441067,0.545924085172733,0.2609267650928227,0.28499732007991035,0.4373142328119671,0.19480582760804951,0.24250840520391756,0.016761682015299907,0.011548019295424646,0.005213662719875262,0.9921551430102812,0.011353116016176973,26.383314607174903,10.60963287302122,20523,777.878
1015,1,0.3225010373670532,0.6612505186835266,0.33532222150161056,0.6545603908597618,0.010117387638627667,0.3947314525625928,0.48195176898264297,0.518048231017357,0.459210144556517,0.0020992268701039373,0.3951837250183469,0.06192719266806615,0.21157817486730496,40919,21306,0.04450190295769119,0.029013704708753606,0.05211373372245831,0.2613452118853788,0.2200262830030891,0.38942365128940315,0.5650049304262079,0.13943645145324526,0.06413735429146826,0.15020565596572968,0.5070998242110832,0.11794924308364481,0.06007543563224276,0.0453893809840766,0.04474083934941034,0.24498660249517862,0.17809294625637875,0.08402027545952588,0.04746300752649634,0.0471814039219702,0.023304831635178262,0.35252504565391773,0.27066373116242554,0.15206594644411447,0.7520096257232093,0.36578601539433037,0.38622361032887886,0.2081818647278685,0.09671803799088628,0.11146382673698223,0.039808509548922226,0.019447715597426314,0.020360793951495912,0.976336763777243,0.03427883876913625,191.39157645798355,74.06366980028875,117186,612.284
1017,1,0.05207974063599365,0.5260398703179968,0.4702621312709602,0.5219355280268291,0.007802340702210663,0.42858819043149216,0.4772813939162829,0.5227186060837171,0.4439294828547124,0.00023466604089055762,0.38749230002053325,0.056202516793288554,0.23616203690123494,32835,21240,0.05230119386348303,0.04194655480918717,0.06321316476489396,0.250300665864891,0.241031357249714,0.3602710392772286,0.669027845627748,0.14710627438326832,0.07397846939074829,0.16901821595142413,0.5253292657886246,0.08864509694640814,0.05118653016925288,0.05983984042709219,0.05799184535507905,0.2337567099821067,0.19192748819336483,0.09964506761315303,0.03613857029714587,0.032941245490012025,0.019565281159250242,0.3210818104485055,0.28470857411046907,0.1772021941274823,0.5799477868059019,0.2806019183948843,0.29934586841101757,0.40251092663752897,0.18940482825379132,0.21310609838373765,0.017541286556569183,0.0072746472676072866,0.010266639288961895,0.9898506937314834,0.004634654307588513,56.52524991253683,23.048825174801987,34091,603.111
1019,1,0.557584561112264,0.778792280556132,0.21801820227017077,0.7675631455159014,0.014418652213927805,0.37550879348744337,0.4976576299823362,0.5023423700176638,0.44366792105061054,0.0,0.40089086859688194,0.04277705245372859,0.2062053605713847,34983,22234,0.048421780201213425,0.043353045081022966,0.0739190538361109,0.28457875739190536,0.11907687581598955,0.5270332539743491,0.22593806921675774,0.1233008217494816,0.064971968358805,0.163812303202519,0.5306812072805468,0.10218109208202135,0.04538821903079641,0.055948083864526536,0.06247600030719607,0.21288687504799939,0.21054450503033562,0.10724982720221181,0.03440595960371707,0.04534981952231011,0.02242531295599416,0.29268105368251285,0.31184240841717226,0.19215114046540205,0.9295369019276554,0.4618308885646264,0.46770601336302897,0.04926656938791184,0.026342062821595884,0.02292450656631595,0.02119652868443284,0.00948467859611397,0.011711850088318869,0.9884417479456263,0.014399815682359266,43.4051418809117,19.5441476728197,26042,599.975
