fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density,year
1031,20128,TOTAL,5079,14919,130,48349,23740,24609,2712,22496.0,1597.0,19338.0,1561.0,42253.0,22797.0,8170.0,46135.0,2214.0,18928,1857.0,1555.0,2230.0,13286.0,9054,20976,5983,2684,7582,21363,7721,3253,2061,2268,10254,7457,3652,3738,2871,1112,37460,18646,18814,8377,3967,4410,2512,1127,1385,678.972,71.20912202565054,2008
1033,24843,TOTAL,9703,14739,401,54446,26172,28274,1081,24814.0,124.0,22858.0,1832.0,39610.0,21079.0,8369.0,53571.0,875.0,22165,2193.0,1949.0,3050.0,14973.0,9664,25223,6195,3465,8614,27233,6460,3156,2431,3027,11651,10629,4953,2929,2229,1302,44325,21502,22823,8745,4014,4731,1376,656,720,592.619,91.8735308857799,2008
1035,6943,TOTAL,3429,3470,44,13382,6815,6567,42,5091.0,0.0,4449.0,642.0,26944.0,15755.0,4071.0,13376.0,6.0,4861,779.0,541.0,920.0,2621.0,3317,5078,1471,972,3030,6276,874,995,1024,1011,2614,2501,1161,313,412,149,6972,3537,3435,6189,3211,2978,221,67,154,850.156,15.74064054126537,2008
1037,5563,TOTAL,2273,3248,42,11470,5666,5804,14,4864.0,0.0,4327.0,537.0,35560.0,19209.0,1769.0,11403.0,67.0,4561,514.0,339.0,727.0,2981.0,2234,4943,1595,760,2415,5751,868,887,865,663,2434,2357,960,228,354,286,7517,3828,3689,3874,1794,2080,79,44,35,650.926,17.621050626338477,2008
1039,15787,TOTAL,3240,12444,103,37608,18222,19386,501,17305.0,46.0,15718.0,1541.0,33852.0,19822.0,7061.0,37055.0,553.0,14663,1789.0,1532.0,2343.0,8999.0,7600,15197,4712,3116,6984,18584,3503,2594,1926,2464,7973,6901,3710,1348,1533,622,31901,15466,16435,4837,2212,2625,870,544,326,1030.456,36.49646370150691,2008
1041,6291,TOTAL,1938,4319,34,13928,6737,7191,179,6436.0,16.0,5867.0,553.0,35140.0,19793.0,2450.0,13351.0,577.0,5641,711.0,457.0,904.0,3569.0,2592,5769,1696,1183,2695,6879,1033,909,862,924,3136,2541,1202,467,430,136,10196,5004,5192,2901,1351,1550,831,382,449,608.84,22.876289337100058,2008
1043,35305,TOTAL,5864,28896,545,79941,39719,40222,3170,37156.0,48.0,34224.0,2884.0,38567.0,20284.0,13167.0,77848.0,2093.0,31263,3129.0,2342.0,4725.0,21067.0,13292,36460,9588,5100,13953,39603,7620,5413,3670,4870,18968,14343,6292,2852,3531,1237,76819,38146,38673,729,436,293,2393,1137,1256,734.841,108.78679877687826,2008
1045,19320,TOTAL,5270,13886,164,49730,24536,25194,2606,24275.0,2520.0,20097.0,1658.0,43353.0,21722.0,7173.0,47962.0,1768.0,19545,1730.0,1341.0,2484.0,13990.0,8849,21463,6269,2803,6798,24425,6071,2733,1897,2168,12457,8275,3693,2989,2336,746,37298,18720,18578,9888,4636,5252,2544,1180,1364,561.15,88.62158068252695,2008
1047,20852,TOTAL,13986,6798,68,44066,20296,23770,312,18168.0,30.0,15373.0,2765.0,26029.0,16646.0,13881.0,43743.0,323.0,16795,3556.0,1726.0,2899.0,8614.0,12750,12887,5599,3113,7646,20323,4211,3003,2383,2260,9728,7617,2978,1600,1808,803,13226,6280,6946,30322,13741,16581,518,275,243,978.695,45.02526323318296,2008
1049,24015,TOTAL,5658,17957,400,70038,34584,35454,8574,31329.0,10.0,28636.0,2683.0,35065.0,18152.0,13932.0,64965.0,5073.0,25937,2599.0,2345.0,4407.0,16586.0,11232,32031,7368,4257,16668,29967,5181,6929,5263,4476,14837,10830,4300,2267,2123,791,64779,31919,32860,1120,509,611,4139,2156,1983,777.093,90.12820859279391,2008
