fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density
13009,16238,TOTAL,8483,7589,166,45854,22840,23014,959,18460,50,16672,1738,31758,18582,13545,44637.0,1217.0,16194,2654,1207,2728,9605,17468,13566,4821,2345,5945,25188,5647,2404,1955,1586,14383,7624,3181,2408,2054,1185,25186,12648,12538,18942,9428,9514,1726,764,962,268.274,170.92226604143525
13011,6195,TOTAL,780,5354,61,18317,9400,8917,1124,8836,19,8018,799,42826,20433,2969,17670.0,647.0,6703,477,382,1058,4786,3167,8703,2030,802,3021,9365,1476,1060,1171,790,4512,3275,1578,667,503,306,17130,8684,8446,525,392,133,662,324,338,233.885,78.31626654124891
13013,25199,TOTAL,6028,18725,446,70873,35103,35770,6530,35447,90,31412,3945,53256,21185,9460,66058.0,4815.0,23064,1129,1085,2013,18837,14889,29057,7414,2903,9596,33872,7778,4572,2846,2178,18164,11393,4315,4190,2671,917,57049,28471,28578,8387,3944,4443,5437,2688,2749,162.931,434.9878169286385
13015,35802,TOTAL,8396,26876,530,100771,49832,50939,7849,48849,45,43679,5125,48306,21715,16219,95805.0,4966.0,35293,2806,1993,3752,26742,20611,42598,11754,4232,14937,48238,11660,7218,4574,3145,23857,17388,6993,5302,4713,1645,84464,41790,42674,10785,5215,5570,5522,2827,2695,470.111,214.35575853362292
13017,5956,TOTAL,2512,3396,48,17547,8558,8989,1066,6669,6,5865,798,30643,15497,6218,17005.0,542.0,6349,1274,545,823,3707,4809,5918,1904,1051,2670,9079,1239,974,872,824,4332,3250,1497,507,503,229,10509,5054,5455,6141,2849,3292,897,655,242,253.906,69.1082526604334
13019,6201,TOTAL,1273,4843,85,19091,9372,9719,929,7922,132,6560,1230,31812,16660,4747,18601.0,490.0,7102,1100,662,1071,4269,3927,7919,2143,1140,3119,9599,1691,1203,986,930,4652,3349,1598,637,691,363,16153,8048,8105,2070,882,1188,868,442,426,457.881,41.69423933292712
13021,64718,TOTAL,38585,25623,510,155237,73338,81899,4760,68125,25,59479,8621,36614,21276,39621,149429.0,5808.0,56660,8102,4545,8172,35841,47928,46525,18812,8794,20295,70991,24348,9164,5822,5309,35477,24444,11070,10922,9306,4120,67556,32916,34640,81443,37408,44035,6238,3014,3224,254.905,608.9994311606284
13023,4907,TOTAL,1269,3587,51,12912,6189,6723,140,4508,3,4189,316,35507,19191,2930,12705.0,207.0,4019,622,382,612,2403,4094,4162,1462,830,1608,7217,1235,474,516,618,3821,2201,1195,543,454,238,8960,4346,4614,3667,1709,1958,285,134,151,219.13,58.92392643636198
13025,6002,TOTAL,939,4964,99,18463,9221,9242,382,7523,18,6539,966,36301,16774,3834,18345.0,118.0,6523,761,521,1038,4203,3134,7713,2645,1119,3115,9862,837,1050,1103,962,4727,3781,1354,336,369,132,17412,8677,8735,748,387,361,303,157,146,447.2,41.28577817531306
13027,6742,TOTAL,3138,3554,50,15766,7722,8044,844,7167,25,5872,1270,31686,19473,4327,15248.0,518.0,6550,931,496,1144,3979,3570,5808,2225,1154,2853,8110,1223,1195,833,825,3322,3199,1589,413,475,335,9320,4673,4647,5595,2541,3054,851,508,343,497.798,31.671481203218978
13029,13453,TOTAL,3707,9560,186,32185,15999,16186,1831,16400,883,14167,1350,65123,27941,4025,30785.0,1400.0,11231,563,387,1108,9173,5849,14166,3089,1289,2699,13446,6673,1243,839,617,6676,5009,1761,3640,2413,620,25308,12750,12558,4841,2237,2604,2036,1012,1024,454.454,70.82124923534614
13031,24085,TOTAL,9593,14174,318,71940,35699,36241,2579,33808,90,30465,3253,35642,18546,22014,68988.0,2952.0,25803,3936,2077,3613,16177,28505,22420,6069,2747,6135,39177,11982,2476,2039,1620,27112,8287,3778,6685,3875,1422,47288,23943,23345,20322,9662,10660,4330,2094,2236,688.622,104.46950576658894
13033,9779,TOTAL,5405,4301,73,23136,11171,11965,659,9410,31,8481,898,33299,16663,7698,22782.0,354.0,7970,1125,958,1186,4701,6484,7276,2699,1413,4076,11239,1549,1585,1323,1168,5456,4236,1547,618,658,273,11075,5560,5515,11596,5308,6288,465,303,162,834.979,27.708481291146242
13035,9381,TOTAL,2968,6306,107,23469,12514,10955,681,10076,4,8778,1294,47385,20165,3714,22778.0,691.0,7781,618,443,963,5757,6140,9035,2663,1378,4678,12025,1598,2298,1254,1126,5983,4308,1734,536,790,272,16414,8422,7992,6570,3887,2683,485,205,280,188.04,124.80855137204851
13037,2188,TOTAL,1298,883,7,6549,3916,2633,340,2518,0,2323,195,26309,15410,2012,6227.0,322.0,1787,361,209,290,927,2441,1868,808,357,1734,3122,423,981,436,317,1588,1138,396,158,187,78,2220,1320,900,3948,2240,1708,381,356,25,283.576,23.094338025784975
13039,17983,TOTAL,6377,11343,263,51193,26288,24905,2925,25999,3396,20223,2380,52799,23833,6534,49841.0,1352.0,18560,1320,922,1782,14536,10903,22879,4743,1603,3431,27607,6836,1497,1049,885,15986,8379,3242,3045,2745,1046,38403,20050,18353,9685,4649,5036,3105,1589,1516,781.862,65.47574891732812
13043,3528,TOTAL,1157,2344,27,11056,5417,5639,1225,4752,3,4289,460,30518,16943,3103,10367.0,689.0,3944,683,353,655,2253,2530,3826,1608,705,2054,5008,1142,919,655,480,2411,1635,962,372,489,281,7539,3747,3792,2713,1242,1471,804,428,376,248.857,44.4271207962806
13045,41549,TOTAL,12688,28280,581,111872,54455,57417,7080,53964,71,46828,7065,45009,21384,21455,106911.0,4961.0,39610,3644,2446,5166,28354,28307,42418,12927,5175,15996,54653,13517,7321,4764,3911,30699,16817,7137,6382,5115,2020,85295,41955,43340,20334,9497,10837,6243,3003,3240,503.775,222.06739119646667
