fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density
1001,24973,TOTAL,5936,18172,865,55200,26874,28326,1528,25736.0,547.0,24124.0,1065.0,58786.0,29372.0,8422.0,54086.0,1114.0,21115,1496.0,1221.0,2142.0,16256.0,11192,25087,5612,2467,5021,26092,10718,2279,1419,1323,12176,8889,5027,4648,4370,1700,42437,20890,21547,10565,5026,5539,2198,958,1240,604.386,91.332360445146
1003,95215,TOTAL,18458,72883,3874,208107,101188,106919,9353,98030.0,308.0,93379.0,4343.0,55962.0,31203.0,21653.0,200937.0,7170.0,78622,4227.0,4078.0,7216.0,63101.0,42192,89494,26089,12711,17095,97903,47432,7297,5215,4583,39512,34539,23852,17335,17867,12230,179526,87836,91690,19764,9429,10335,8817,3923,4894,2027.303,102.6521442527338
1005,10469,TOTAL,4871,5454,144,25782,13697,12085,1106,9638.0,0.0,8720.0,918.0,34186.0,18461.0,6597.0,25136.0,646.0,9186,1225.0,822.0,1517.0,5622.0,7337,8759,3380,1789,5440,12619,2287,2530,1368,1542,5664,4436,2519,758,956,573,12216,6459,5757,12266,6478,5788,1300,760,540,904.511,28.503799290445336
1007,8819,TOTAL,1874,6738,207,22527,12152,10375,547,8757.0,0.0,8099.0,658.0,45340.0,20199.0,2863.0,22202.0,325.0,6840,437.0,559.0,883.0,4961.0,6020,8334,2808,1623,3132,12902,1834,1434,711,987,5911,4703,2288,713,735,386,17268,8782,8486,5018,3197,1821,241,173,68,626.166,35.97608301951878
1009,25588,TOTAL,2156,22859,573,57645,28434,29211,5261,22306.0,51.0,21346.0,909.0,48695.0,22656.0,8220.0,55132.0,2513.0,20600,1723.0,1162.0,2346.0,15369.0,9543,27068,6244,3678,8651,30366,5160,3097,2867,2687,13320,10727,6319,2072,1861,1227,55054,27137,27917,862,474,388,1729,823,906,650.625,88.59942363112393
1011,4710,TOTAL,3530,1140,40,10352,5663,4689,51,4430.0,0.0,3940.0,490.0,32152.0,20346.0,3110.0,10256.0,96.0,3609,821.0,388.0,326.0,2074.0,3903,3061,1009,609,1986,5221,995,725,746,515,2757,1666,798,335,357,303,2276,1444,832,7893,4138,3755,183,81,102,625.141,16.559464184879893
1013,8732,TOTAL,3726,4901,105,20025,9368,10657,67,8464.0,12.0,7885.0,567.0,39109.0,20430.0,4640.0,19750.0,275.0,6708,754.0,616.0,909.0,4429.0,5834,6564,2418,1437,2513,10675,2271,995,771,747,4518,3728,2429,883,758,630,10414,4940,5474,9055,4089,4966,556,339,217,777.878,25.743111387646906
1015,47864,TOTAL,13242,32865,1757,115098,55315,59783,4203,53078.0,293.0,48157.0,4628.0,45197.0,24706.0,20819.0,112039.0,3059.0,45033,3872.0,3211.0,5749.0,32201.0,26739,45845,14783,7167,14057,60879,14966,5202,4745,4110,27957,21058,11864,6470,5084,3412,85558,41483,44075,23676,10953,12723,5864,2879,2985,612.283,187.98170127212416
1017,13900,TOTAL,5784,7843,273,33826,16257,17569,768,15571.0,12.0,14786.0,773.0,39872.0,22827.0,5531.0,33356.0,470.0,13516,1184.0,975.0,2314.0,9043.0,8487,12632,4150,2780,4817,18761,3242,1411,1454,1952,8260,6827,3674,1249,1210,783,19483,9466,10017,13319,6154,7165,1024,637,387,603.111,56.08586147491921
1019,10733,TOTAL,1547,8953,233,25853,12820,13033,398,10386.0,0.0,9805.0,581.0,41014.0,23356.0,3827.0,25648.0,205.0,10606,914.0,823.0,1512.0,7357.0,4290,12805,2911,1653,4008,14044,2515,1170,1316,1522,5079,5398,3567,1091,892,532,23997,11871,12126,1267,643,624,589,306,283,599.975,43.0901287553648
