fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density
1001,23641,TOTAL,6093,17403,145,53155,25780,27375,1233,26635,683,24341,1611,53255,24568.0,5623,52100.0,1055.0,19718,1316,996,1724,15682,10588,22476,5764,2530,6031,24737,7662,2756,1740,1535,12736,8263,3738,3693,3182,787,42031,20585,21446,9508,4520,4988,1616,675,941,594.436,89.42089644637942
1003,81413,TOTAL,19386,61271,756,175791,85902,89889,6848,84253,220,78520,5513,50147,26469.0,21216,169376.0,6415.0,69476,4146,3353,8252,53725,29656,84456,18237,9554,17881,83418,33518,7735,5480,4666,36166,29801,17451,12710,13935,6873,151453,73489,77964,16613,7997,8616,7725,4416,3309,1589.784,110.57539892211771
1005,11630,TOTAL,5697,5866,67,27699,14652,13047,1273,10966,6,9909,1051,33219,15875.0,6203,26921.0,778.0,9795,1695,964,1370,5766,7085,9780,4022,1711,6148,12747,2574,2690,1916,1542,6586,4445,1716,902,1124,548,13759,7336,6423,12911,6719,6192,1029,597,432,884.876,31.302690998512787
1007,8644,TOTAL,2299,6262,83,22610,12162,10448,134,10806,0,9819,987,41770,19918.0,2830,22457.0,153.0,7441,547,547,1127,5220,4809,8945,3315,1228,4433,11300,1579,1696,1644,1093,6083,3763,1454,809,505,265,19038,10269,8769,3450,1806,1644,122,87,35,622.582,36.31650128015266
1009,24267,TOTAL,3522,20389,356,56692,28080,28612,4246,26744,27,24706,2011,45549,21070.0,7510,54017.0,2675.0,20605,1742,1240,2681,14942,8673,26399,6515,3487,10671,27155,4818,4397,3379,2895,13149,9531,4475,2025,2109,684,53938,26796,27142,716,342,374,2038,942,1096,644.776,87.92510887502017
1011,5415,TOTAL,4011,1391,13,10923,5848,5075,180,4854,0,4310,544,31602,20289.0,2694,10799.0,124.0,3732,606,312,652,2162,3886,2832,1362,862,2383,5167,877,1099,688,596,2443,2116,608,330,423,124,2589,1486,1103,8110,4209,3901,224,153,71,622.805,17.53839484268752
1013,9709,TOTAL,4188,5485,36,20895,9810,11085,58,8994,0,8138,856,30659,16916.0,5127,20671.0,224.0,8019,1239,781,1380,4619,4948,6894,2987,1901,4043,10188,1577,1493,1056,1494,4457,4085,1646,707,588,282,11493,5508,5985,8969,4027,4942,433,275,158,776.829,26.897811487470218
1015,49242,TOTAL,16334,32348,560,117149,56312,60837,3555,54183,154,47720,6309,38407,20574.0,22203,114181.0,2968.0,46421,5872,3650,6323,30576,25085,46851,14954,7936,18958,58183,13033,7586,5397,5975,29085,20726,8372,5716,5167,2150,88451,42992,45459,23928,10943,12985,4770,2377,2393,605.868,193.35729894960616
1017,14956,TOTAL,6799,8067,90,34579,16408,18171,524,15951,0,13679,2272,31467,16626.0,6988,34278.0,301.0,13681,1798,1434,2243,8206,7358,13585,4344,2662,7356,16465,2648,2186,2489,2681,7939,6057,2469,1126,1041,481,20425,9887,10538,13527,6208,7319,627,313,314,596.531,57.966811448189624
1019,9745,TOTAL,2306,7298,141,25700,12804,12896,321,12072,28,10548,1496,40690,21322.0,4458,25573.0,127.0,11352,1116,1229,1709,7298,2941,14246,2370,1724,5641,12695,2027,2082,1666,1893,5196,5306,2193,603,1006,418,23842,11828,12014,1202,693,509,656,283,373,553.7,46.41502618746613
1021,17785,TOTAL,3674,13960,151,43121,21298,21823,2806,20222,7,18375,1840,39486,20517.0,7887,41413.0,1708.0,16563,1695,1290,2376,11202,7438,19677,4606,2415,7771,20803,3634,3373,2068,2330,10010,7814,2979,1982,1233,419,37736,18589,19147,4052,1990,2062,1333,719,614,692.854,62.23677715651493
1023,7894,TOTAL,3636,4223,35,14111,6859,7252,52,5156,0,4478,678,31076,17214.0,2590,14064.0,47.0,5296,669,682,872,3073,3221,5407,1705,1127,3132,6647,1071,1037,1027,1068,2897,2595,1155,341,491,239,7823,3839,3984,6064,2958,3106,224,62,162,913.5,15.447181171319102
1025,13435,TOTAL,5914,7466,55,26255,12375,13880,238,9072,0,8161,911,27439,17372.0,7570,26192.0,63.0,9144,1769,820,1661,4894,6344,9405,2881,2210,4972,12249,2287,2106,1378,1488,5768,4486,1995,940,820,527,14451,6870,7581,10990,5192,5798,814,313,501,1238.465,21.199630187369042
1027,6819,TOTAL,1760,4984,75,14040,6873,7167,360,6461,16,5744,701,35595,18332.0,2465,13754.0,286.0,5851,644,475,996,3736,2014,6915,1292,1170,3176,6754,985,1214,943,1019,3018,2407,1329,461,358,166,11562,5701,5861,2160,985,1175,318,187,131,603.961,23.246534130515048
1029,6492,TOTAL,1168,5216,108,14823,7397,7426,214,6547,22,5681,844,36077,17490.0,2480,14647.0,176.0,5397,587,504,740,3566,2808,6066,2102,975,3433,6929,906,1287,1120,1026,3188,2556,1185,407,378,121,13983,6991,6992,606,265,341,234,141,93,560.1,26.46491697911087
1031,20128,TOTAL,5079,14919,130,48349,23740,24609,2712,22496,1597,19338,1561,42253,22797.0,8170,46135.0,2214.0,18928,1857,1555,2230,13286,9054,20976,5983,2684,7582,21363,7721,3253,2061,2268,10254,7457,3652,3738,2871,1112,37460,18646,18814,8377,3967,4410,2512,1127,1385,678.972,71.20912202565054
1033,24843,TOTAL,9703,14739,401,54446,26172,28274,1081,24814,124,22858,1832,39610,21079.0,8369,53571.0,875.0,22165,2193,1949,3050,14973,9664,25223,6195,3465,8614,27233,6460,3156,2431,3027,11651,10629,4953,2929,2229,1302,44325,21502,22823,8745,4014,4731,1376,656,720,592.619,91.8735308857799
1035,6943,TOTAL,3429,3470,44,13382,6815,6567,42,5091,0,4449,642,26944,15755.0,4071,13376.0,6.0,4861,779,541,920,2621,3317,5078,1471,972,3030,6276,874,995,1024,1011,2614,2501,1161,313,412,149,6972,3537,3435,6189,3211,2978,221,67,154,850.156,15.74064054126537
1037,5563,TOTAL,2273,3248,42,11470,5666,5804,14,4864,0,4327,537,35560,19209.0,1769,11403.0,67.0,4561,514,339,727,2981,2234,4943,1595,760,2415,5751,868,887,865,663,2434,2357,960,228,354,286,7517,3828,3689,3874,1794,2080,79,44,35,650.926,17.621050626338477
1039,15787,TOTAL,3240,12444,103,37608,18222,19386,501,17305,46,15718,1541,33852,19822.0,7061,37055.0,553.0,14663,1789,1532,2343,8999,7600,15197,4712,3116,6984,18584,3503,2594,1926,2464,7973,6901,3710,1348,1533,622,31901,15466,16435,4837,2212,2625,870,544,326,1030.456,36.49646370150691
1041,6291,TOTAL,1938,4319,34,13928,6737,7191,179,6436,16,5867,553,35140,19793.0,2450,13351.0,577.0,5641,711,457,904,3569,2592,5769,1696,1183,2695,6879,1033,909,862,924,3136,2541,1202,467,430,136,10196,5004,5192,2901,1351,1550,831,382,449,608.84,22.876289337100058
1043,35305,TOTAL,5864,28896,545,79941,39719,40222,3170,37156,48,34224,2884,38567,20284.0,13167,77848.0,2093.0,31263,3129,2342,4725,21067,13292,36460,9588,5100,13953,39603,7620,5413,3670,4870,18968,14343,6292,2852,3531,1237,76819,38146,38673,729,436,293,2393,1137,1256,734.841,108.78679877687826
