fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density
1001,27770,TOTAL,7503,19838,429,58761,28663,30098,1864,28106,943,26411,752,68315.0,35332,6630,57209.0,1552.0,22308,990,656,2361,18301,12784,24945,6698,3274,4518,28104,12373,2040,1251,1227,12858,9711,5535,5258,4701,2414,43747,21643,22104,11496,5466,6030,3518,1554,1964,604.366,97.22750783465648
1003,109679,TOTAL,24578,83544,1557,233420,114077,119343,11210,111766,687,107254,3825,71039.0,38907,23445,225314.0,8106.0,90802,4050,3821,6368,76563,45091,108951,26194,12778,16766,111331,55927,7372,5088,4306,44337,37684,29310,19201,20843,15883,195998,96074,99924,19445,9161,10284,17977,8842,9135,2027.263,115.14046278159272
1005,10518,TOTAL,4816,5622,80,24877,12973,11904,1202,8968,0,8452,516,39712.0,23378,5280,24101.0,776.0,9016,917,741,1468,5890,7928,7669,3528,1499,4519,13033,2174,2072,1204,1243,5743,4343,2947,705,733,736,11309,5884,5425,11668,6153,5515,1900,936,964,904.511,27.503258666837663
1007,9595,TOTAL,1986,7525,84,22251,11897,10354,650,9028,0,8242,786,50669.0,24966,4297,22007.0,244.0,7216,549,660,789,5218,5997,8010,2865,1482,3588,12160,1788,1798,1237,553,5577,3831,2752,555,804,429,16872,8499,8373,4603,2997,1606,776,401,375,626.163,35.535475587027655
1009,27588,TOTAL,2640,24711,237,59077,29864,29213,5721,26459,25,24856,1578,57440.0,29053,8277,56234.0,2843.0,21626,1445,1122,1828,17231,11622,25941,6499,3945,8266,31050,6197,3099,2939,2228,13018,10785,7247,2724,2157,1316,53941,26880,27061,729,425,304,4407,2559,1848,650.625,90.80038424591739
1011,4613,TOTAL,3446,1146,21,10328,5542,4786,907,3888,0,3744,144,36136.0,22115,2687,9939.0,389.0,3450,443,354,532,2121,3817,2848,1089,659,2147,5305,701,965,713,469,2451,1804,1050,227,279,195,2397,1513,884,7117,3610,3507,814,419,395,625.141,16.52107284596595
1013,9488,TOTAL,3965,5458,65,18981,8928,10053,322,8047,4,7495,548,44429.0,26334,3937,18659.0,322.0,7131,425,433,1217,5056,5032,6788,2364,1300,1813,11149,1785,692,516,605,4720,3510,2919,585,703,497,9777,4698,5079,8462,3845,4617,742,385,357,777.878,24.400998614178572
1015,50983,TOTAL,15216,35101,666,116162,56185,59977,4736,53521,374,49455,3692,54339.0,28227,20267,113464.0,2698.0,44693,3591,2687,4392,34023,31688,41344,16170,6834,13220,62369,15974,5309,4314,3597,29469,20152,12748,6486,5039,4449,83306,40627,42679,25631,12222,13409,7225,3336,3889,612.271,189.7231781351722
1017,15284,TOTAL,6365,8753,166,34612,16485,18127,1129,15691,60,15072,559,48805.0,27006,6080,34104.0,508.0,13143,671,1024,1648,9800,9590,12246,4381,2402,4393,19803,3225,1010,1347,2036,8886,7149,3768,1080,1119,1026,19642,9536,10106,14114,6472,7642,856,477,379,603.111,57.38910416158883
1019,12301,TOTAL,1624,10583,94,25069,12261,12808,479,10713,0,10288,425,46621.0,28422,3516,24576.0,493.0,9997,454,600,1393,7550,4385,11513,2925,2379,3545,14025,2773,1109,1278,1158,5129,4814,4082,893,1293,587,22884,11471,11413,1008,404,604,1177,386,791,599.974,41.78347728401564
1021,19310,TOTAL,3073,16085,152,45140,22048,23092,3664,19921,0,18865,1056,62471.0,28497,6422,43301.0,1839.0,16931,909,771,1543,13708,9445,19292,4822,2689,5974,24158,4303,2302,2236,1436,11010,8227,4921,1746,1309,1248,36693,17970,18723,4257,1986,2271,4190,2092,2098,700.784,64.41357108609786
1023,7464,TOTAL,3127,4296,41,12669,5980,6689,143,4781,0,4532,249,43299.0,26343,2388,12613.0,56.0,5228,500,443,676,3609,2941,5015,1292,1372,1736,7200,1207,475,509,752,2619,2615,1966,465,510,232,7180,3563,3617,5062,2242,2820,427,175,252,920.855,13.75786633074697
